,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136
Name,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000
67,0.807942104,0.919688825,1.021991175,1.000345556,1.026239633,0.900561123,1.134914992,1.042311004,0.989751012,0.750786066,1.223257337,1.068126026,1.116028731,0.833874338,0.76462925,0.878359251,1.016580779,0.757011909,1.066131705,1.0850888,0.836029842,1.076572175,1.019004131,0.885496194
68,1.091337422,1.093410015,0.933204254,0.942765882,0.768483122,0.889022822,1.005616966,0.937381423,1.136503653,0.963114779,1.1627713,1.169471936,1.060115525,0.880043761,0.781391351,1.115237688,0.814273616,0.888179384,0.707798961,0.937288607,1.161671222,1.027376218,1.090201765,0.803042924
69,1.072922355,0.897647737,1.074921681,1.218181976,0.755816752,0.82467303,0.827210511,0.943243275,1.058885304,0.974560506,1.306501188,1.07916323,0.887296333,0.834600243,1.027774658,1.280714336,0.958320626,0.807471143,0.784323188,0.841491,1.295946645,0.971188193,0.984414564,0.90645321
70,1.032063662,1.061480474,1.099329132,0.858465163,0.84252672,1.160885443,0.769223631,0.92189466,0.910372712,0.964282918,1.080438416,0.991459085,0.870939149,0.840344663,0.891397426,1.182279577,0.887919124,0.908411464,0.778700609,0.787999449,0.86122507,0.88106246,0.844695891,0.946535359
71,0.891659563,0.924991402,1.010610818,0.90915724,0.940271726,0.888314302,0.863795217,0.913541703,1.016633974,0.941572699,0.959124018,0.955628539,0.936451753,1.039827488,0.927928233,0.889491631,1.116203129,0.911442782,1.020822078,0.935947741,1.079704369,0.936172732,0.980256637,0.901069391
72,0.538081101,0.89244231,0.782116746,0.996084498,0.664486863,0.716852707,0.649594959,0.985233924,0.998543992,0.503970176,0.447785087,0.831738553,0.741117964,0.780601834,0.520648317,0.793710557,0.836044292,0.751923315,0.794445635,0.474544334,1.664762364,0.882572203,0.571839388,0.871064868
73,0.736666444,0.956702781,0.883770206,0.885626985,0.836884513,0.951604009,0.80181375,0.873506613,0.932279448,0.800320446,0.834529459,0.964593523,0.787258124,0.726336069,0.889200784,0.829592803,0.862875042,0.943872557,0.941599622,0.880428926,1.077600682,0.882063876,0.842777173,0.9444904
74,1.035441267,1.165514092,1.023854099,1.085256135,0.911004463,0.765081173,1.00655843,1.280427403,1.367001088,0.908913106,0.771487178,1.032604228,1.038905203,0.924402903,0.830438175,1.096692251,0.888914902,0.906168935,1.017728373,0.889704023,1.03546973,1.111572366,0.936992603,0.797307631
75,0.747656546,0.944283662,0.872589283,0.856420517,0.844569937,0.767163764,0.757896119,0.773886469,0.785006585,0.677720853,0.745722941,0.849813143,0.78228442,0.800885724,0.733484613,0.736102423,0.881201435,0.885585802,0.945962741,0.808729348,1.135523741,0.943007866,0.815584349,1.013845867
76,0.881210945,1.13462546,0.945049636,1.074854093,0.719907293,0.92630816,0.846482838,0.88344546,1.337117856,0.760174328,0.58226344,1.140509903,0.783659455,0.729770273,0.79582563,0.958503246,0.866479775,1.02672536,0.885418467,0.856735304,0.883566258,1.328602219,0.985547678,1.096573799
77,0.956177862,1.005149369,0.939491163,1.010039975,1.054685602,1.012660339,0.93551508,0.997411303,0.939969574,1.088562838,0.888882137,0.881881806,0.889007431,0.906051231,0.860998687,0.861906914,1.019759669,0.954812995,0.995763555,0.878652479,0.945949519,1.085051928,1.042184106,1.104634293
78,1.005843969,0.932559208,1.037981201,0.973535727,0.784461639,0.902204618,0.852706715,0.891878236,0.930470718,1.031990984,0.941122883,0.98645686,0.956028588,0.981273117,0.996010355,0.831197212,0.962747964,0.888695142,1.006597221,0.957010338,0.965444035,0.917924464,0.989771136,0.977174031
79,0.967833803,1.010842437,0.92779965,1.037443708,1.060399976,1.021475816,1.077274031,0.97085067,0.914573727,1.095716266,1.116629859,1.061789593,0.95666875,0.968295441,0.813661006,1.036763339,1.045104501,0.899684093,1.062206509,1.154216027,1.064460195,0.967201265,0.907400802,1.063128285
80,0.965683267,1.037649429,0.966671727,0.989553144,1.094759525,1.17760931,1.021343845,1.094077656,1.098407555,1.174128937,1.073433822,1.081526564,1.012719174,0.88342526,0.915816812,1.068877277,0.926237561,1.037288112,0.971879533,1.102996318,1.144821963,0.888218437,0.812542164,1.017426536
81,0.94505556,1.010609643,0.970182681,0.94413434,0.91014533,0.973933547,0.951148095,1.091996603,0.992668054,1.055276953,0.863615324,0.994371393,0.96326283,0.819008869,0.91575245,0.940676983,0.941374003,0.927996936,1.024242049,1.064514986,0.948314114,0.992467505,0.882741678,1.012507184
82,0.932536224,0.957216235,0.958165047,0.93710444,0.952746715,0.956213013,0.862381119,1.025687235,1.03002533,0.940636837,0.899578824,0.998313255,0.934227192,0.906297638,0.903584262,0.920718238,0.883821491,0.917969165,0.939032587,1.007764296,1.014194936,0.922223656,0.798695388,0.985018459
83,0.978344199,0.927936741,0.985078973,1.071296849,0.990832953,1.282852587,0.94150579,1.36443098,1.274565172,1.112787095,0.909913068,1.090453554,1.138042526,0.867313015,0.77399419,1.276591456,1.008021553,1.139197428,1.163059688,1.202721227,1.218767946,0.928705136,0.927231855,1.134097803
84,0.844153689,0.853499248,0.94373723,0.928561153,0.786668056,0.938804361,0.733803078,0.915993437,0.943051209,0.808100185,0.90360698,0.999208557,0.893654916,0.926864052,0.880430455,0.859262891,0.903766448,0.814315216,0.919635328,0.932215574,1.001024185,0.773345811,0.72758024,0.917765829
85,1.015275688,0.975262377,1.097667246,0.994918983,1.018221583,1.092949375,0.926192407,1.147193246,1.106025738,1.130134116,0.958339765,1.049814971,1.113648243,1.120492159,1.048480512,1.095029972,0.819233717,0.871245638,1.079751815,1.233008307,1.150429568,0.843869339,0.870330696,1.001448771
86,1.055388815,0.574136143,1.021419491,0.568069455,0.382518329,1.12948656,1.126063894,0.844660768,0.608128046,1.115838036,0.76454861,1.306785307,0.470259458,0.650645726,1.322162044,0.984311991,1.270166155,0.623076074,0.897577269,1.18197175,1.118520261,1.021838115,0.580419222,0.79238097
87,0.837696321,0.991030136,0.932840077,1.070238778,0.92807113,0.755634212,0.988937763,1.103682132,1.036799682,0.760417444,0.641208498,0.914173437,0.836219875,0.870054224,0.907084738,0.771580699,0.877843641,0.951729718,0.962432677,0.808267827,0.872859941,1.241062221,0.87094654,0.991913088
88,0.809321506,0.332278854,0.72435774,0.537090887,0.598693081,1.062729546,1.012288126,0.785997867,0.547175461,1.062067664,0.884777496,1.166651383,0.367188907,0.56858472,1.259603342,0.873373528,1.535971564,0.819293087,0.798240234,1.128682101,0.772104133,1.361598124,0.508046021,0.714520031
89,0.88333513,1.034070649,0.941882134,1.01276376,0.871324926,1.014303531,0.984372811,1.069340292,1.014479948,0.87312807,0.844989912,1.093941692,0.949712921,0.879488632,0.838680632,0.924885408,1.129973334,1.028120732,1.061294364,0.895632372,1.022679447,1.028239607,1.050371279,1.008935222
90,0.783715523,0.921632755,0.842039687,0.709143034,0.950769158,0.873300892,0.855804858,0.949022319,0.918215257,1.018258515,0.7690332,0.836112462,0.704558866,0.818766047,0.854291318,0.717020587,0.894773634,0.804246426,0.864213602,0.771247254,0.854826818,1.080868776,1.009180658,0.906841621
91,0.911803681,1.136171342,0.931888209,0.941254827,0.841747509,0.795506557,0.829793903,1.208154131,1.278371548,0.799812927,0.675739439,0.894303389,0.800488329,0.877229739,0.890042132,1.028262522,0.801897487,0.865454747,0.878407814,0.900433658,1.027004277,0.971875744,0.749305832,0.824942714
92,0.901139815,0.974285094,0.915857314,0.906950967,0.949367281,0.992296245,0.958487251,1.050203233,1.023160634,1.003765908,0.94265773,0.998300744,0.89132201,0.862500793,0.866869022,0.931748512,0.909439687,0.902310529,0.889575435,0.976527946,1.01901319,0.85792351,0.833091106,0.937423776
93,0.93794476,0.97133413,0.931980446,1.000001032,0.993554028,0.985338765,0.920693474,0.964633712,1.020741027,0.976101796,0.95980691,0.990253773,1.007557295,0.961612533,0.967859412,0.945910203,0.947922072,0.924256711,0.949129441,0.959706535,1.017188673,0.971278098,0.935047536,0.992667937
94,1.126451706,0.973772694,1.148814853,1.092511034,1.116629934,1.317250039,1.017619133,1.084973026,1.028244204,1.178816888,1.066916584,1.099697317,1.247678164,1.131478434,1.062591747,1.035638933,0.88430235,1.018823554,1.041577245,1.139367723,1.06099137,0.988185214,1.123040081,1.042077018
95,1.126997433,0.802803422,0.897223487,0.883658285,0.853257908,0.799455956,0.776535942,0.978183426,0.85509136,1.150223433,0.780476868,0.847392899,0.766532421,0.910084184,0.852466041,0.938720623,0.904491021,0.901785423,0.787364767,0.93048323,1.015677214,1.184706595,1.196477702,0.892599703
96,0.357495463,1.574716657,1.248956819,1.046694415,1.399188191,0.981745648,0.55361526,0.826927427,0.066292893,0.444958958,0.544628602,0.51268265,1.956239415,3.198702596,0.997871907,0.73214024,0.6598431,0.389552261,0.462349485,1.569319003,1.820883695,1.768676049,0.460142484,0.748911892
97,0.671203841,0.614932575,0.45471927,0.482055647,0.482598124,1.064595627,1.077775247,1.281538884,1.87661487,1.791988294,1.006193221,0.785258551,0.247035661,0.413194941,0.940764509,0.299499257,0.346147376,0.541669875,0.483635878,0.32039641,0.600712679,0.853980774,0.983489506,1.757197619
98,1.354895206,0.88063918,0.779489048,0.990501132,0.967047096,0.853740416,0.93353709,1.0541622,1.781609412,1.019829098,1.212818338,1.30788528,0.803851317,0.954414757,1.09723941,1.128525344,0.772407117,1.699153677,1.184456673,0.764723998,1.082386455,0.89237631,0.852112605,1.164031408
99,0.734625792,0.775059908,0.658541366,0.355622787,0.800947222,0.955704256,0.844938409,0.592968739,0.580479519,0.515213173,0.675867499,0.925912411,0.774625868,0.59181259,0.852474407,0.482914165,1.000211312,0.615370427,0.653026909,1.413769661,0.778533805,0.920933659,0.742762902,0.996241378
100,0.872727463,1.047640245,0.963157258,0.99773172,0.927323284,1.011514896,0.965198407,0.976643029,0.869870096,0.96028387,0.985107945,0.965923872,1.019585061,1.007426567,0.842452644,0.877192605,1.005547349,0.774357553,0.988868408,0.840920819,0.937156375,0.972947769,0.964766972,1.079130638
101,1.002898791,1.027458845,1.097061009,0.901852217,1.065564873,0.830439256,0.891840364,0.794067103,0.843994054,0.900074984,1.00201222,1.019240892,0.907948668,0.998471943,0.799326577,0.827602673,0.975478551,0.817888768,1.004026218,1.031241624,0.943101781,1.074468308,0.896997402,0.958968693
102,0.763128568,1.409378399,0.824475024,0.8349101,0.96176731,1.210207532,0.687002705,1.079649741,1.30442278,0.909113699,0.569186906,1.017234767,0.619585674,0.747652825,1.045735419,1.00243066,0.704756291,1.157284351,0.782360009,1.10719965,1.112722763,0.809907519,0.725011835,1.094297344
103,1.451146422,0.812562714,0.850701551,1.575953524,0.932693088,2.123821339,0.693760708,0.588521953,1.151510839,0.774323361,1.292744025,0.521421485,1.124423726,0.891616441,0.425457758,1.600567547,1.5485539,0.662376649,1.236258618,0.512172563,0.822494899,1.191570434,2.073141208,0.975468037
104,1.030138493,1.036265572,1.038281684,0.931096616,1.044254473,1.019377824,0.773285216,1.053065353,1.403962542,1.089414224,1.560815648,1.257782459,0.992398182,0.959040654,1.004588667,1.108043498,1.151443745,1.129852759,1.313858308,0.970338409,1.053325654,0.835951954,0.891672399,1.17378693
105,0.893345768,1.050306751,1.057457509,0.96071844,1.04906293,0.83848313,0.920118176,0.901178206,0.820795977,0.919763088,1.025808591,1.00001829,0.864608862,0.907985383,0.833899384,0.929204806,1.180693313,0.949691294,0.988697112,0.967799004,1.022524508,1.080743796,0.949368955,1.072995471
106,0.910516466,0.816573967,0.919775812,0.909231255,1.14026266,0.935584069,0.954573298,1.090442028,1.002646581,0.825816619,1.032824241,0.856787462,1.090895587,0.857603748,0.846444138,0.846890543,1.105373093,0.938435732,1.040476233,0.916092535,0.838363018,0.877233612,0.886978357,0.823638406
