,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136,QC3,QC4,QC5,QC6,QC7,QC8
Compound,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,QC,QC,QC,QC,QC,QC
"17,21-DIHYDROXY-4-PREGNENE-3,20-DIONE",0.634964582,0.58569645,0.628567557,0.761362203,0.374226789,1.6669991,0.405660593,0.28896885,1.945784934,0.330206452,0.785648396,0.402646439,0.893782738,1.484888202,0.492454816,0.759698401,1.323219303,3.311894738,1.533557014,0.310196136,0.211266356,0.78617219,4.042072047,0.264260837,0.747680263,1.024886306,0.426982807,0.292824567,0.430796625,0.689294713,3.187598102,3.651703825,0.284108446,1.165958873,0.26542696,0.261306827,0.446380943,0.557684587,0.193157205,0.60651387,1.672019575,1.033801156,0.303028355,0.971779692,1.012129105,0.991271396,0.991806784,1.007763367,1.007706658
Trihydroxyvitamin D3,1.054394245,0.796571289,0.553563666,1.031087914,0.934808271,0.722122829,1.156324233,1.178685347,0.751828909,1.331254936,1.085356453,0.870648368,1.137242191,0.834685245,1.483896734,1.122474025,1.139711063,1.109168734,1.348634957,1.272578225,1.034098843,1.193217822,1.457091498,0.846298632,1.250365839,1.112508225,0.869121614,0.769482271,1.542905037,1.00789006,0.911146303,1.153467751,1.038108207,0.649477956,0.711212487,1.465617416,0.846909433,0.98427437,0.829080093,1.010961617,0.808606273,0.914128159,0.881268608,1.013406055,1.104483804,0.98671284,0.985627406,1.014361774,0.919740669
Acetylcarnitine,0.971112709,1.168658803,0.899719956,0.793108333,0.705788219,0.568798383,0.792416197,1.406802336,0.851440108,1.146376528,1.106434629,1.310255243,0.990820228,1.047479763,0.955309402,1.03732844,1.091173001,2.838147396,0.715885341,0.646326162,0.90016702,0.952717681,1.044155139,1.161814287,0.773185774,0.833424658,0.72353614,0.945453167,0.837932807,1.175535297,0.832476241,0.961485104,1.077100192,0.418031899,0.781940698,1.178383305,0.7575699,1.103130351,0.749273149,1.404329008,0.999751657,1.159189576,0.978158017,1.00576482,1.00090871,0.942225727,1.005572195,1.005509088,1.005734138
Acetylcholine,0.96865109,0.87556159,0.873525577,0.917661903,0.972888386,1.152624064,0.926458759,0.966548632,1.029177481,1.210256045,0.826399089,0.941721979,0.930440786,0.913603457,0.845655304,0.957745588,1.097662659,0.919855748,0.754893327,1.162351676,1.276416179,0.968350128,1.029030015,0.90901431,1.35464467,0.875965514,1.081341742,1.064694832,1.319702114,1.199390998,1.277374016,0.969441249,0.767007733,0.850749862,0.915390694,1.149860614,1.153863382,1.14576432,1.045834731,1.071691805,0.992011905,0.880886456,0.948128214,0.98787652,1.010072526,0.990295329,0.988491665,1.01051881,1.047095911
ADENINE,1.065508591,0.765452118,1.047245465,0.944763456,2.138318881,0.878184343,0.648044054,0.938629897,1.21008388,1.202656244,0.986699282,0.895129867,0.876726216,1.982682257,0.728270476,1.694106269,0.524552283,0.033978632,0.882191918,0.283326462,0.47662546,1.70075093,0.790223618,0.369135912,0.509794118,0.120791577,0.530749685,0.84577625,0.448472938,1.271064384,0.823262393,0.20221007,1.38108398,2.59649954,1.056718896,0.490034213,0.795158459,0.709046995,0.725585843,0.619498122,0.93868537,0.63488831,1.508791774,1.031954239,0.963038236,1.034354368,1.458826373,0.955424863,1.025778725
ADENOSINE,1.224086444,1.471098299,1.243584562,1.550974633,1.948434106,1.178206344,0.911047702,0.789783936,1.066922164,1.354003147,1.693486752,1.149602987,1.360062759,1.570899004,0.936749433,0.983623717,0.613476673,0.376288823,1.568197933,0.663936571,1.097940915,0.881193592,0.696334084,0.868706255,0.65227616,0.861206071,0.954046059,1.009754645,1.104838131,0.792667894,1.165647173,0.613282449,0.832086068,1.272753009,0.630888563,0.943797607,0.744254993,0.722318385,0.747207504,0.321231559,0.522855417,0.976585923,0.691006032,1.007756411,1.007558793,0.936652816,0.992519281,1.034632353,0.992043824
Adrenic acid,0.960908786,1.028612353,0.970697629,0.982511126,0.857254117,1.048159503,1.121134212,1.212764986,0.911882199,1.528573355,1.046939995,1.254603937,1.061919131,1.108157416,0.940626857,1.167440334,1.043531036,1.3111507,0.915394118,0.766292737,0.876503678,0.881829201,0.90659959,0.778517101,0.855697625,0.775580717,0.826586664,0.842633751,0.669112924,0.853937467,0.919098669,0.769079255,0.876840571,0.748064038,0.802141393,0.989539121,0.800261676,0.847128941,0.793386734,0.901250899,1.051364089,0.946826105,0.97412209,0.98516322,0.995150165,0.995543221,1.004324234,1.004718086,1.026399132
ALANINE,0.914780741,1.132145746,0.955579503,0.798218716,0.831746297,1.148334832,1.015269828,1.013680376,1.074656981,1.062253425,0.980554667,1.137708636,1.0997273,1.053021097,0.752324988,1.007715368,1.010437131,0.894516684,0.951731394,0.779736781,0.931021463,0.873655262,0.858676983,0.868950523,1.016662783,1.068906327,0.888723549,0.966748235,0.963249216,0.954535466,0.917511773,0.914160278,0.83579434,0.72702796,0.841470495,0.955067956,0.655646654,0.844082556,1.135312577,0.83472333,0.787373689,0.821404526,0.745940286,1.005523547,0.993782902,1.005740747,1.00438587,1.005981151,0.983519496
Arachidonic acid ethyl ester,0.859220939,1.057301172,0.580555705,1.543085996,0.864557264,1.67617253,0.87689298,1.227313421,0.200442444,1.751955075,1.611439719,1.74170728,1.212071744,1.433767263,0.652079086,0.554578793,1.241515824,0.802805765,1.15011832,0.77559197,0.808580704,0.782964884,0.267182188,0.951776472,0.815490726,0.986486275,0.412155219,0.433265412,0.620672643,0.736679117,0.867620638,0.828932918,0.724102378,1.021691685,0.359954631,1.087173679,0.463515369,0.632341105,1.224328719,0.636684486,0.93703497,0.996637872,1.071005432,1.007003253,0.981993783,0.999022396,0.992726409,0.992421469,1.030338388
ARGININE,1.030030038,1.244668436,0.887901902,1.016183596,0.923035224,0.924783371,0.948853921,1.063996926,0.992448749,1.210189707,0.896472724,1.053196248,1.008184922,0.950194273,0.871742729,0.874197733,0.860680697,0.97347467,0.9630379,0.845441397,0.953217372,0.970633563,1.036033019,0.96876249,0.853359771,0.970294508,0.987864785,0.951202629,1.127164875,0.924324445,0.937895081,0.894117492,1.018099517,0.953049749,0.866868664,1.020580826,0.927441691,1.009081608,0.973885073,1.069070337,1.099473974,1.041664142,0.925584032,1.005091303,0.994774956,0.994820612,0.998833866,1.032910981,0.998667854
