Feature.name,CFTg107,CFTg121,CF95,FTg133,F141,CFTg135,CF108,CF92,FTg125,F138,CFTg91,CF100,CFTg134,CFTg89,FTg117,F116,F112,FTg113,FTg118,FTg126,FTg130,CF104,FTg119,CFTg136,F109,CFTg123,F129,CF98,CF93,CFTg99,F137,CFTg120,F114,CFTg106,FTg115,CF94,FTg140,CFTg122,CF101,FTg127,CF97,FTg124,F132,QC3,QC4,QC5,QC6,QC7,QC8
,Tg1000,Tg1000,WT1000,Tg0,WT0,Tg1000,WT1000,WT1000,Tg0,WT0,Tg1000,WT1000,Tg1000,Tg1000,Tg0,WT0,WT0,Tg0,Tg0,Tg0,Tg0,WT1000,Tg0,Tg1000,WT0,Tg1000,WT0,WT1000,WT1000,Tg1000,WT0,Tg1000,WT0,Tg1000,Tg0,WT1000,Tg0,Tg1000,WT1000,Tg0,WT1000,Tg0,WT0,QC,QC,QC,QC,QC,QC
v139,1.096395559,1.029406969,0.928893957,0.909273554,1.112932438,1.086117019,0.893810026,1.235311774,0.956603149,0.934783329,0.80224481,1.020822391,1.175811347,1.016119944,1.048533432,0.965451953,1.03223691,0.952656678,1.055161472,1.073000574,0.967337319,0.977683833,1.03822015,1.135650536,0.909178783,0.986676931,0.840766425,1.040957923,1.026139223,0.738194103,0.892810178,1.07812595,0.899057587,0.97227114,1.03141188,1.032681386,0.992340489,0.840459863,0.988643498,1.043746795,0.879179468,0.892651114,0.896352597,0.99369191,0.975678991,1.006064277,1.002216112,1.014852434,1.005295514
v140,0.922655512,1.001618465,0.916347761,0.88897344,0.969608633,0.748386945,0.832296693,1.322568949,0.994514332,1.011597814,0.831458865,0.8830167,0.956311524,0.898129487,0.957084997,0.897835881,0.963256395,0.863970748,0.970943409,1.117772555,0.9844462,1.031900971,0.944021939,1.016249949,0.882520421,1.05276403,0.813517717,0.895080568,0.819289463,0.817946454,1.005336487,0.935794189,0.773071391,0.916853184,0.998427289,1.25253231,1.033494218,0.986875203,1.012307747,1.035722245,0.798588154,1.03443828,0.823296782,0.987566922,0.988264636,1.009388618,1.006401212,1.010313153,1.071641606
v141,1.042821749,1.080547165,0.954437071,1.097442984,0.81535636,0.988212619,0.947646711,1.159689871,0.97113941,1.063173682,0.957258607,1.055175732,0.999625071,0.958095803,0.980054858,0.871403351,0.861593931,0.93351756,0.913205469,0.907917312,0.868560123,1.0414622,0.985065253,0.97191053,0.969507797,1.079279651,0.919936046,0.996299349,0.874204044,0.825924071,0.919925531,0.882756463,0.941163303,0.940561975,0.927001005,1.040067834,0.987684813,0.877000326,1.060881137,0.924601867,0.932094781,0.922469646,0.874786542,1.003836969,1.001004648,0.997693206,0.96926714,1.002241779,1.002239837
v142,1.116211151,0.840608925,1.127123489,1.242705464,1.023148476,0.824693696,0.852530215,1.307339751,0.773235945,1.04175259,0.93672981,1.152098278,0.90596488,0.98919509,1.147127622,1.425382796,0.926106465,1.046100914,1.449139413,0.882560325,0.982566884,1.00359437,1.017459645,0.808605811,0.960616006,0.950576095,0.957507435,1.06293149,1.101994061,0.809667528,1.246985803,1.09104356,1.109604033,0.79815377,1.022751842,1.47018658,0.857283643,0.916184012,1.386783536,1.06178165,1.24924721,0.782175341,1.548201401,0.996273225,0.99627922,0.997387263,1.003614631,0.996797678,1.027280073
v143,1.027874748,1.034110046,0.853817643,1.048299241,0.780087432,0.867553694,0.913866143,1.060521818,0.927765955,0.99936345,0.933337134,0.944324591,1.041463642,0.969571772,0.93836456,0.847459438,0.843678741,0.920141135,0.837943983,0.880220885,0.934838707,1.112470578,1.069952756,0.997094424,0.962701953,1.057316258,1.047435753,1.031520479,0.947352924,0.902979962,0.934664824,0.87873217,0.941973407,1.099558715,0.961424384,1.041560454,1.047201527,0.97872979,1.099605796,0.938881293,0.953728054,0.995789829,1.032256312,0.995462332,0.996384342,1.004068403,0.995670897,1.030280998,1.004199313
v144,0.699254685,0.937062,0.998238881,0.963832421,1.188241314,1.155938199,0.922453578,0.57833057,1.340848554,0.844009855,1.123700519,0.911974287,1.163469401,1.41246228,1.291717174,0.943403158,1.150529784,1.2529488,1.165428614,1.166500476,1.360105458,0.897676221,1.136051519,1.063869012,1.05298172,1.126666896,1.171150468,1.135319614,1.104610623,1.32755416,1.006672757,1.248187252,1.277817637,1.423442096,1.192607039,0.792582278,1.160321772,1.675158711,1.064042015,1.154421285,1.368824856,1.305475802,1.419953339,0.991485045,1.047002503,0.991882137,1.015412354,0.992278951,0.991544863
v145,0.772560687,1.309907088,1.312462513,0.839954191,0.872859705,2.151691185,0.702023638,0.774148217,1.482583912,1.110330636,1.474367934,1.186949873,0.826351716,2.262117,1.420675539,0.823926241,0.991434013,1.536404207,2.853785582,1.409404207,1.326916099,1.230386822,1.177648446,1.173215307,1.232547562,1.055751377,0.567236871,1.138947004,0.846750439,0.70574589,1.130997492,1.2008681,0.87981491,0.842068614,1.261193913,0.666503915,0.868844583,0.841391548,1.078237311,1.176234686,1.219800204,1.146305781,0.845235616,1.176755409,0.97593459,0.994739216,0.978489027,0.971893237,0.974051574
v146,0.958905398,0.94633301,0.860660222,1.014044397,0.913330388,0.768093279,0.865727477,1.037968733,0.791140526,0.865292307,0.804598228,0.889145084,0.855514169,0.842616665,0.959928117,0.916582308,0.904600587,1.020893096,0.992199673,1.132928738,1.169077957,0.90009789,1.048150105,0.831827562,0.840225611,0.918983657,0.983670567,1.047115051,0.789015936,0.908176815,1.141655906,0.957779847,0.844061287,1.094905991,0.972816547,1.205720371,1.104688155,0.979704807,1.227560847,1.037422141,0.897440551,1.071382925,1.014929607,1.005621235,0.986610144,1.005789596,0.994204229,0.994502276,1.036770279
v147,0.891138809,0.984235573,1.027724177,0.780665171,0.778997115,0.789063577,0.898110852,1.477198045,0.796885899,0.955942725,0.927089617,0.834198968,0.967183158,0.704641259,0.822396659,1.024100032,0.943953947,0.661798638,0.803951741,0.886325164,0.823803103,0.837959874,0.869820801,1.154389484,0.964173428,1.090759788,0.78568001,0.765616274,0.96789556,0.843904324,0.915379879,1.011147408,0.971553696,0.733757187,0.822660095,1.241690485,0.744274166,0.809153382,0.997740568,0.817666198,0.873147856,0.690373686,0.895476594,0.993385993,0.982381256,1.002153888,1.006269559,1.006026015,1.022969515
v148,0.930882959,0.7833692,0.608404403,0.566371112,0.501261829,0.623719945,1.23983739,0.91101071,0.513886999,0.680918255,0.609598657,0.583422501,0.582511743,0.568472303,0.691473113,0.659708273,0.513635946,0.564251944,1.886964398,0.667402743,0.508016928,1.867877339,2.486779526,1.272882679,0.77567433,3.752159701,0.598207,0.540104021,0.29262673,0.988822747,0.811928897,1.893806076,0.556253017,0.729084777,0.82462657,0.661724477,1.312313537,0.897266246,0.39219103,0.917564174,0.554305445,0.958123103,1.614692891,0.943492673,0.950990507,1.02803959,1.115468462,0.958003262,0.955068173
