Name,F109,F112,F114,F116,F129,F132,F137,F138,F141,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140
,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0
var10,1.827493615,1.074708847,1.006209238,0.919889405,1.197940919,1.232929912,1.221394645,1.004175098,1.088844253,1.68383325,1.446061495,1.237934703,1.228930842,1.517762611,1.201353753,1.206135352,1.175888879,1.216233396,1.462938207,1.081954763,1.530594735
var11,1.021147046,1.137049617,1.101274558,1.089100446,0.811904454,0.902869384,1.046971867,0.980804507,1.031426209,0.897259148,1.055177909,0.905784446,1.012389023,0.827403045,0.902408531,0.990154615,0.889405357,0.990617709,0.787506272,0.871010311,0.970602753
var12,0.903964086,0.909731809,0.951742272,1.170051469,0.914440615,0.903885822,0.8893917,0.793822659,0.934806696,0.944121365,0.881928829,1.177969994,0.904036146,0.913580813,1.243360326,0.814401732,0.871951396,1.069908847,1.067781211,1.084919068,1.082737183
var13,0.634964582,0.58569645,0.628567557,0.761362203,0.374226789,1.6669991,0.405660593,0.28896885,1.945784934,0.310196136,0.211266356,0.78617219,4.042072047,0.264260837,0.747680263,1.024886306,0.426982807,0.292824567,0.430796625,0.689294713,3.187598102
var14,0.971112709,1.168658803,0.899719956,0.793108333,0.705788219,0.568798383,0.792416197,1.406802336,0.851440108,0.646326162,0.90016702,0.952717681,1.044155139,1.161814287,0.773185774,0.833424658,0.72353614,0.945453167,0.837932807,1.175535297,0.832476241
var15,0.96865109,0.87556159,0.873525577,0.917661903,0.972888386,1.152624064,0.926458759,0.966548632,1.029177481,1.162351676,1.276416179,0.968350128,1.029030015,0.90901431,1.35464467,0.875965514,1.081341742,1.064694832,1.319702114,1.199390998,1.277374016
var16,1.065508591,0.765452118,1.047245465,0.944763456,2.138318881,0.878184343,0.648044054,0.938629897,1.21008388,0.283326462,0.47662546,1.70075093,0.790223618,0.369135912,0.509794118,0.120791577,0.530749685,0.84577625,0.448472938,1.271064384,0.823262393
var17,1.224086444,1.471098299,1.243584562,1.550974633,1.948434106,1.178206344,0.911047702,0.789783936,1.066922164,0.663936571,1.097940915,0.881193592,0.696334084,0.868706255,0.65227616,0.861206071,0.954046059,1.009754645,1.104838131,0.792667894,1.165647173
var18,0.960908786,1.028612353,0.970697629,0.982511126,0.857254117,1.048159503,1.121134212,1.212764986,0.911882199,0.766292737,0.876503678,0.881829201,0.90659959,0.778517101,0.855697625,0.775580717,0.826586664,0.842633751,0.669112924,0.853937467,0.919098669
var19,0.914780741,1.132145746,0.955579503,0.798218716,0.831746297,1.148334832,1.015269828,1.013680376,1.074656981,0.779736781,0.931021463,0.873655262,0.858676983,0.868950523,1.016662783,1.068906327,0.888723549,0.966748235,0.963249216,0.954535466,0.917511773
var20,1.030030038,1.244668436,0.887901902,1.016183596,0.923035224,0.924783371,0.948853921,1.063996926,0.992448749,0.845441397,0.953217372,0.970633563,1.036033019,0.96876249,0.853359771,0.970294508,0.987864785,0.951202629,1.127164875,0.924324445,0.937895081
var21,0.927625643,1.074771193,0.766618542,1.201606754,0.95805998,0.925403832,0.979904541,0.928243126,0.739057805,0.964635514,1.076297616,1.108221577,0.908457936,1.055596774,0.987404348,1.068139745,0.79204769,0.852223456,0.943627163,0.809178245,0.919385073
var22,0.793358306,1.181088873,1.019207405,0.783823421,1.07659627,1.297347402,0.835223835,0.866652334,0.946173464,0.893944403,1.313086947,0.723240958,0.819314917,0.784777638,0.837047082,1.450859427,0.913921959,0.928075028,0.864074102,0.937638763,0.801104639
var23,0.885985653,1.697529424,1.620921349,0.435886021,1.226748886,0.856699484,1.233703428,0.984597426,0.980787672,0.163463297,0.567964941,0.548162054,0.133241892,0.431322202,0.286776598,0.55639736,1.330061109,1.418723029,1.184125339,1.235673962,1.241496432
var24,1.120793055,0.942804458,0.636855787,0.98918378,0.775725249,0.851531762,0.819050164,1.298785336,1.208211166,0.706576982,1.096178229,0.983370459,0.976728961,0.921957447,0.617963229,1.131048602,0.961662378,0.644577979,1.115236832,0.901124537,1.30330937
var25,1.032150111,1.009069937,0.964179378,0.768294194,1.002098782,0.848528949,0.873046579,1.002719967,0.733347302,0.972464697,0.922973821,1.026179508,0.958059611,0.902370052,1.027111401,0.947100497,0.99860655,0.912292307,0.940202034,0.923050981,0.959213508
var26,0.946655413,0.909340005,1.019069723,1.073015088,0.934331159,0.963683334,1.088942215,1.007185234,1.134633536,1.04331527,0.969041219,0.941199431,0.968711225,0.925590096,0.929166379,0.870161869,0.955550157,0.895728436,1.009299994,1.069107743,0.932679363
var27,1.026280968,0.868575745,0.867687057,0.990993115,0.841804814,1.080154672,0.924008831,1.200006452,0.765377137,0.908656742,1.079604157,1.215618086,0.925236802,0.842308815,1.172301488,0.814024485,0.837975588,0.710272703,0.869045352,0.964055116,0.950380021
var28,1.076358138,1.246047608,0.775766531,0.752005392,0.553897129,0.762603635,0.620167328,1.094658847,0.707487673,0.942521982,1.091422546,1.338998956,0.849486331,0.849763863,0.961152421,1.282540137,1.047521146,0.80094116,0.978660025,0.714130322,0.850980209
var29,1.039061228,1.202411292,0.877411359,0.882344961,1.390718826,0.806244894,0.907698464,0.743473899,0.965666801,0.800924329,1.077569737,0.970526577,1.011938892,0.997247248,1.000177809,0.755603789,1.045177582,1.166373542,0.857856096,0.970325741,1.121609935
var30,0.985429434,0.961974954,0.951844177,0.918148159,0.958739953,0.939174732,0.992258205,0.979498392,0.946924464,0.929885776,0.980067347,0.984573277,0.941922271,0.966295388,1.003140658,0.907522329,0.938493544,0.958554189,0.914024556,0.944246433,0.97210869
var31,0.827487363,0.868728323,1.085463385,0.83444492,0.720395918,0.987941349,0.7110616,0.456054818,0.43236877,1.357626401,1.344231175,1.271373397,1.141974013,1.229327617,1.186975586,0.858513944,1.3904555,1.725530146,1.252024454,0.388761656,1.208312877
var32,0.943945932,0.916855975,0.569468514,0.917094604,0.737587159,0.589152157,1.055688733,1.048581974,0.973892879,0.975646096,0.998476798,1.002353785,0.892812956,0.820482044,0.470634638,0.663946475,0.534601667,0.518622188,1.035603664,0.564220155,0.411264185
var33,1.194012991,1.358000664,1.133922445,1.023046714,1.021903084,0.511366944,0.854276101,0.656514661,0.803591756,1.052420013,0.881903157,0.793643199,0.925038062,0.985541356,1.092477126,1.239425139,0.686741341,1.077447439,1.748686438,1.569952164,1.050833309
var34,0.909945485,1.212140798,1.056090333,0.907952348,1.042600234,1.004887082,0.993947846,0.99548776,1.041244598,1.195743477,0.790889359,0.878439481,0.786574095,0.843689103,0.796536872,0.891663804,0.669628117,0.745916524,0.867558039,0.927990323,0.917629896
var35,1.269582816,0.686710226,0.903250745,0.788968855,0.998620066,0.859016745,0.842892335,0.790413293,0.822240113,1.074528409,1.005438201,0.983253754,0.930306294,1.003351044,1.011752958,0.724260965,0.955588411,1.381580141,1.03880349,1.496023669,1.196741387
var36,0.837797737,0.82740023,1.214961524,0.802031012,0.946757591,1.010137121,1.008010558,1.205022631,1.095883621,0.979521026,1.060344373,0.837316008,1.177619425,1.073048761,1.03408162,0.800376502,0.910414237,1.019184933,1.288407435,1.260006009,1.0718938
var37,0.979246545,0.951289434,0.956626536,0.983392406,0.860538986,1.019689733,1.002497443,0.98439973,0.944552248,0.921533392,0.96454137,0.886931775,0.937152543,0.907721908,0.84186624,0.887815117,0.906673258,0.979318106,0.881623449,0.82544171,0.992373338
var38,0.932323889,1.188459622,0.82865358,1.029105419,0.853363495,0.81140371,0.984961682,1.084154018,0.917273557,0.962188177,0.830784538,0.921174247,1.085604312,0.896002783,0.962268124,1.189455702,0.997021529,0.922920122,0.994503669,0.982981159,0.885747978
var39,0.450260085,1.509969011,0.705761871,1.164682261,0.827870275,0.395585045,0.909418825,0.986231255,1.494564473,0.518771829,0.596179969,0.753603582,0.273572485,0.362338686,0.81766732,1.032465923,0.56104345,0.368795889,0.424280906,1.508618046,0.869740152
var40,0.883770733,1.264073201,0.860303725,1.259859582,0.669283884,0.973032262,0.999484795,1.049825329,1.294192471,0.810569414,1.12356586,1.035248735,1.143977772,0.937853569,0.800070294,1.002022233,1.220677693,1.074182853,0.799017899,0.736451334,0.928753247
