,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136,QC3,QC4,QC5,QC6,QC7,QC8
Compound,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,QC,QC,QC,QC,QC,QC
LAUROYLCARNITINE,123.7152006,193.2851703,121.2809447,208.9008248,79.92134408,108.1039837,198.7445714,151.1206343,258.8696452,235.3625186,154.2183534,210.9603088,155.2524095,170.5799533,153.6802323,186.8707845,140.1300341,368.5517719,199.9915409,93.51882767,154.7428078,135.2543613,173.2744859,115.5899263,124.6892511,112.6673092,171.385042,173.6490467,87.66461467,77.89385536,144.1612476,128.9081654,135.3179432,90.42940858,138.0579967,144.9333253,130.7998178,136.5189847,82.5030637,289.591516,153.525476,99.43104477,150.4377647,159.1414833,163.1394627,165.2465163,194.2600236,171.0119079,196.5654189
LEUCINE,5074.79932,5401.728346,5090.5802,5213.747121,4733.070546,5258.312405,5054.415304,5472.769915,4584.631287,6677.220083,4452.253048,6900.552726,5138.238703,5061.694006,4088.747298,4587.240958,5474.46106,4761.105655,4568.180764,3932.929593,5122.280769,4731.792593,4741.73397,4480.761983,5094.981445,4292.989669,4676.916578,4991.515844,4284.994369,4468.152792,5164.52858,4215.057413,3888.874741,4760.868442,4441.721447,4619.91783,5053.58649,5041.416973,4713.903051,5769.580022,4722.656736,4512.311861,5056.894481,4350.828811,5124.041332,5451.510426,5053.559206,5483.307568,6013.206931
Linolenelaidic acid,1473.602372,1497.490629,1123.265985,1575.573228,1089.383872,976.1397797,1343.33043,1454.055126,967.8040754,1880.126089,1281.602338,1440.955876,1297.243537,947.1484536,1106.342728,1300.497948,1251.865249,1225.697616,1168.559385,1218.396975,1359.659239,1203.790842,1275.701058,1046.4105,900.9399706,1182.436806,1497.795608,1599.0909,1067.819615,906.3607549,1204.900978,1220.975633,1086.316569,975.6177554,1287.492308,1042.271467,1034.972819,1209.443735,1045.179266,1216.361336,1298.874363,1100.800594,945.8843749,1057.983942,1188.817138,1207.313608,1275.335711,1185.329985,1573.256384
Methionine,1752.196464,1933.861322,1806.317954,1969.017199,1534.122325,1873.478539,1895.452245,2051.744151,1739.513858,2795.857341,1599.341654,2314.170507,1703.482875,1820.459006,1531.213927,1688.061784,1980.124694,1747.139038,1655.037263,1449.623729,1841.608649,1701.78521,1670.251741,1647.139904,1496.176922,1478.102507,1508.471845,1530.97525,1321.739044,1454.361516,1657.365574,1525.666293,1561.943868,1430.493465,1435.598901,1718.581237,1727.131938,1844.883306,1577.241058,2214.578548,1839.120501,1590.610164,1977.273771,1644.111905,1791.135975,2064.063287,1961.306127,1974.906045,2165.677714
L-OLEOYL-RAC-GLYCEROL,28596.73619,34501.02486,33240.02181,40926.09571,20638.85282,36205.44566,32250.59626,24632.83147,27077.20991,39474.92574,40652.16317,41822.18041,35200.6906,40368.07995,28835.5621,29284.15459,30843.1472,29985.94064,27508.52631,27276.97309,35432.77872,29140.04046,33577.16136,22431.75109,28824.59994,26105.25063,27595.97233,41766.73169,23686.40566,18181.93695,35585.1936,24478.37701,22709.37326,24574.55197,29931.4747,26745.02632,32071.57193,27241.75436,26377.21195,27599.74636,41497.00963,30766.5216,34124.24042,29331.00004,29651.37259,30765.63102,32084.71358,32523.29126,33803.7561
LYSINE,463.1357717,521.872397,466.2998605,447.2052026,455.6892305,477.5161095,478.8795947,506.1719918,396.2845546,687.5431771,460.0624609,612.5086506,511.4407521,451.9404765,390.6443317,418.1209039,531.4311182,418.0150957,440.1259656,475.1843032,496.5335173,459.2354394,502.3462151,514.3516624,505.2786247,463.3642866,496.6806755,468.9898452,543.0737763,443.3619676,439.1329928,434.7485157,441.3331311,429.1682671,429.2316767,499.7686439,463.5220602,494.9963478,438.1803141,473.3692125,539.6479197,512.8740815,557.6676923,482.6564688,485.8519439,511.8493292,506.7382392,508.2902129,511.2843626
LysoPA(0:0/16:0),536.4924741,650.3460361,533.6922693,502.4208654,520.2768043,470.7458302,609.4143367,579.4803062,580.2587408,575.7933072,483.2607202,592.5723346,463.1551726,565.576581,516.8977265,537.7451681,515.2435335,493.4333659,632.9351933,571.7238261,531.0468164,596.7859326,550.0697331,451.054451,519.3865428,487.3042399,536.4188488,535.102782,597.4304948,541.0791969,568.4699742,541.6226556,564.3615284,571.7918375,472.9863645,553.6497326,511.0546574,578.9297564,538.189256,553.6541681,527.4184977,569.2377683,561.9656836,408.4273752,595.2590704,588.2219866,572.0200035,577.013638,653.7119105
LysoPC(14:0/0:0),1458.961256,1591.490054,1482.483933,1426.925099,1557.397361,1592.451713,1428.137868,1511.042503,1670.643108,1536.095867,1320.617488,1490.261448,1429.100667,1265.968941,1563.809398,1355.941119,1864.47124,1571.614432,1612.025318,1591.491188,1682.466447,1484.32467,1653.483718,1753.659635,1697.153478,1800.528117,1568.364618,1514.849607,1828.480399,1866.178126,1713.043085,1590.549606,1590.219318,1338.844022,1719.241999,1771.296075,1501.23129,1789.287633,1923.851095,1723.386255,1596.294997,1490.543452,1786.301566,1647.030943,1874.58825,1701.555447,1535.852495,1599.983279,1675.651845
LysoPC(16:1/0:0),6008.280403,6331.157238,6334.81914,5990.72586,6922.425314,6944.969676,7032.421653,6822.954607,6579.523005,7023.171038,6156.745941,8411.432214,5828.951686,6551.351003,7055.018347,6515.101828,8428.309894,7282.180338,6078.576882,6793.095512,7301.491581,6802.052096,6963.058762,7703.3507,8286.328909,7186.75622,7698.642717,7729.020316,8261.839023,7553.290924,7610.236058,7126.068128,6216.282609,6444.207993,7521.228481,6517.534309,7298.949151,6838.697181,7761.309458,8055.618488,6250.010129,5717.508829,7159.191802,6571.99553,6871.279026,7050.825084,6947.162292,7084.375661,7408.716819
LysoPC(18:0),183260.4892,186492.9482,163314.7364,172967.2516,165245.8787,163759.6288,180196.9629,181388.8262,183079.3324,217704.834,150920.2863,202071.8338,159446.7664,142437.9204,154543.5244,155821.0857,180503.8659,168098.3026,158269.2382,182666.3958,198165.6525,187101.0917,184943.1577,177776.4371,190458.7672,181712.8113,214113.6203,194645.9856,206259.433,169242.7974,194920.7684,188856.7676,159400.3107,175870.5586,184271.6163,182013.8775,181957.3274,196671.8484,204637.6536,185941.0331,194576.3219,172872.803,197869.4298,162587.1432,187715.1175,192192.3073,206257.5391,209544.8222,216837.7212
