Data,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108
,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000
51,0.341805486,1.011393514,0.529752199,0.904583203,0.626752337,0.350604119,0.590555101,0.848515893,1.678491347,1.128395554,0.704569457,2.106537277,1.317449407,0.820597945,1.246947068,1.566606965,1.671100907,1.237164424,1.861745273
52,0.883770733,1.264073201,0.860303725,1.259859582,0.669283884,0.973032262,0.999484795,1.049825329,1.294192471,1.159116828,1.01899487,0.944118693,1.142810458,0.875792644,0.776349345,0.874278945,0.902654245,0.887016842,1.139077521
53,0.958876468,0.976577557,0.709201811,1.613265508,0.261398918,0.454334412,0.644848759,0.654711586,0.4920045,1.126844459,0.543841768,1.146371509,0.66313612,0.418673213,1.436350454,1.709193153,1.349494662,0.882990365,1.329769782
54,0.941770261,0.80745621,0.918334244,0.910268303,0.915112532,1.68872144,0.838682769,1.102106677,1.296642089,1.852656357,0.819292114,0.79025556,0.846208289,0.801117006,0.75778983,0.749114514,0.976537611,1.489416498,0.767678444
55,0.933079954,0.98763214,0.961911236,1.143454302,0.892238862,1.047121783,1.051288626,1.062289147,1.009941937,1.022849223,0.95544379,1.035804344,0.976900975,1.032993272,0.958620951,0.937421447,1.072006938,0.994331578,0.951776895
56,0.731316067,0.605960715,0.862293376,0.615205809,0.716497593,0.734875327,1.07022248,0.898040937,0.894574815,1.022918972,0.817124479,1.035301877,1.004327026,0.982763649,0.991550507,0.953268772,1.082377475,1.634915279,0.834851809
57,1.008080163,0.884156712,0.797816502,0.731790369,1.222823036,0.757117112,0.96148046,0.814577297,0.730430135,0.9322113,0.818887226,0.797301311,0.79688174,0.823717131,1.412049406,1.051359876,0.786159535,0.993355595,1.091120275
58,0.951249552,0.910651863,0.923760748,0.908924573,0.958141939,0.943921962,0.939138653,0.948467631,0.958693168,1.070620761,0.925943361,0.963092839,0.868303438,0.933169335,0.981037287,0.999011881,0.975276725,1.065715333,0.978645524
59,0.984262367,0.946096036,0.943591415,0.929886515,0.798084055,0.8436853,0.821792664,0.956723346,0.960663931,1.168247842,0.934149612,0.867034483,0.748635643,0.975982946,0.888813728,1.031482872,0.992176355,1.166164109,0.899586771
60,0.731152131,0.807048089,0.927680623,1.116571336,0.758267535,0.770512635,0.841584578,0.654013671,0.541660133,0.713339116,0.8167552,0.600880064,0.768783553,0.700298863,1.41846798,0.657166466,0.811497438,0.441936346,0.939709312
